Cygwin Package Information
Package                             Version
librsvg2_2                          2.40.8-1
libsasl2_3                          2.1.26-9
libserf1_0                          1.3.8-1
libsigc2.0-devel                    2.4.1-1
libsigc2.0_0                        2.4.1-1
libslang2                           2.3.1pre17-1
libSM-devel                         1.2.2-1
libSM6                              1.2.2-1
libsmartcols1                       2.25.2-2
libsndfile1                         1.0.25-2
libsoup-gnome2.4_1                  2.48.1-1
libsoup2.4_1                        2.48.1-1
libsox2                             14.4.1-2
libsqlite3_0                        3.8.8.3-1
libssh2_1                           1.5.0-1
libssp0                             4.9.2-3
libstartup-notification1-devel      0.12-2
libstartup-notification1_0          0.12-2
libstdc++6                          4.9.2-3
libsybdb5                           0.91.112-1
libtasn1-devel                      4.2-1
libtasn1_6                          4.2-1
libtdb1                             1.2.11-2
libthai0                            0.1.21-1
libtheora                           1.1.1-2
libtheora-devel                     1.1.1-2
libtheora0                          1.1.1-2
libtheoradec1                       1.1.1-2
libtheoraenc1                       1.1.1-2
libtiff-devel                       4.0.3-2
libtiff5                            3.9.7-4
libtiff6                            4.0.3-2
libtool                             2.4.6-1
libturbojpeg                        1.2.1-2
libturbojpeg0                       1.3.1-3
libunistring-devel                  0.9.4-1
libunistring0                       0.9.3-2
libunistring2                       0.9.4-1
libuuid-devel                       2.25.2-2
libuuid1                            2.25.2-2
libvorbis                           1.3.5-1
libvorbis0                          1.3.5-1
libvorbisenc2                       1.3.5-1
libvorbisfile3                      1.3.5-1
libvpx1                             1.3.0-1
libwavpack1                         4.60.1-1
libwebp5                            0.4.3-1
libwind0                            1.5.3-1
libWindowsWM-devel                  1.0.1-1
libWindowsWM7                       1.0.1-1
libWINGs2                           0.95.4-1
libWINGs3                           0.95.6-3
libwrap0                            7.6-22
libwraster3                         0.95.4-1
libwraster5                         0.95.6-3
libX11-devel                        1.6.3-1
libX11-xcb-devel                    1.6.3-1
libX11-xcb1                         1.6.3-1
libX11_6                            1.6.3-1
libXau-devel                        1.0.8-1
libXau6                             1.0.8-1
libXaw3d-devel                      1.6.2-2
libXaw3d8                           1.6.2-2
libXaw7                             1.0.12-2
libxcb-composite-devel              1.10-1
libxcb-composite0                   1.10-1
libxcb-damage-devel                 1.10-1
libxcb-damage0                      1.10-1
libxcb-devel                        1.10-1
libxcb-ewmh-devel                   0.4.1-1
libxcb-ewmh2                        0.4.1-1
libxcb-glx-devel                    1.10-1
libxcb-glx0                         1.10-1
libxcb-icccm-devel                  0.4.1-1
libxcb-icccm4                       0.4.1-1
libxcb-image-devel                  0.3.9-1
libxcb-image0                       0.3.9-1
libxcb-keysyms-devel                0.3.9-1
libxcb-keysyms1                     0.3.9-1
libxcb-randr0                       1.10-1
libxcb-render-devel                 1.10-1
libxcb-render-util0                 0.3.9-1
libxcb-render0                      1.10-1
libxcb-shape-devel                  1.10-1
libxcb-shape0                       1.10-1
libxcb-shm-devel                    1.10-1
libxcb-shm0                         1.10-1
libxcb-util-devel                   0.3.9-1
libxcb-util1                        0.3.9-1
libxcb-xfixes-devel                 1.10-1
libxcb-xfixes0                      1.10-1
libxcb-xtest-devel                  1.10-1
libxcb-xtest0                       1.10-1
libxcb1                             1.10-1
libXcomposite-devel                 0.4.3-1
libXcomposite1                      0.4.3-1
libXcursor-devel                    1.1.14-1
libXcursor1                         1.1.14-1
libxcwm-devel                       20140606-1
libxcwm0                            20140606-1
libXdamage-devel                    1.1.4-1
libXdamage1                         1.1.4-1
libXdmcp-devel                      1.1.2-1
libXdmcp6                           1.1.2-1
libXext-devel                       1.3.3-1
libXext6                            1.3.3-1
libXfixes-devel                     5.0.1-1
libXfixes3                          5.0.1-1
libXfont1                           1.5.1-1
libXft-devel                        2.3.2-1
libXft2                             2.3.2-1
libXi-devel                         1.7.4-1
libXi6                              1.7.4-1
libXinerama-devel                   1.1.3-1
libXinerama1                        1.1.3-1
libxkbfile-devel                    1.0.8-1
libxkbfile1                         1.0.8-1
libXm-devel                         2.3.4-3
libXm4                              2.3.4-3
libXmHTML0                          1.1.7-13
libxml2                             2.9.2-1
libxml2-devel                       2.9.2-1
libxml2-doc                         2.9.2-1
libXmu-devel                        1.1.2-1
libXmu6                             1.1.2-1
libXmuu1                            1.1.2-1
libXpm-devel                        3.5.11-1
libXpm4                             3.5.11-1
libXrandr-devel                     1.4.2-1
libXrandr2                          1.4.2-1
libXrender-devel                    0.9.8-1
libXrender1                         0.9.8-1
libXRes-devel                       1.0.7-1
libXRes1                            1.0.7-1
libxslt                             1.1.28-2
libXss-devel                        1.2.2-1
libXss1                             1.2.2-1
libXt-devel                         1.1.4-2
libXt6                              1.1.4-2
libXtst-devel                       1.2.2-1
libXtst6                            1.2.2-1
libzip2                             0.11.2-2
libzzip0.13                         0.13.62-1
links                               2.8-2
listres                             1.0.3-1
lndir                               1.0.3-1
login                               1.11-1
lua                                 5.1.5-1
luit                                20130217-1
lynx                                2.8.7-2
m4                                  1.4.17-1
make                                4.1-1
man                                 2.6.7-2
man-db                              2.6.7-2
mcpp                                2.7.2-2
mercurial                           3.3-1
mesa-demos                          8.2.0-1
mingw-runtime                       4.0-1
mingw-w32api                        4.0-1
mintty                              1.2-beta1-1
mkcomposecache                      1.2.1-1
mkfontdir                           1.0.7-1
mkfontscale                         1.1.1-1
motif                               2.3.4-3
mpclib                              1.0.3-1
mpfr                                3.1.2-2
nasm                                2.10.07-1
ncurses                             5.9-20150307-1
ncurses-demo                        5.9-20150307-1
netpbm                              10.66.02-3
obconf                              2.0.4-1
oclock                              1.0.3-1
openbox                             3.5.2-4
openbox-devel                       3.5.2-4
openjade                            1.4devel1-3
openjpeg                            1.5.2-2
OpenSP                              1.5.2-2
openssh                             6.8p1-1
openssl                             1.0.2a-1
openssl-devel                       1.0.2a-1
p11-kit                             0.20.7-1
p11-kit-trust                       0.20.7-1
p7zip                               9.20.1-1
patch                               2.7.4-1
pax                                 20120606-1
perl                                5.14.4-3
perl-Carp                           1.3301-2
perl-Encode-Locale                  1.04-1
perl-Error                          0.17023-1
perl-File-Listing                   6.04-4
perl-HTML-Parser                    3.71-2
perl-HTML-Tagset                    3.20-4
perl-HTTP-Cookies                   6.01-4
perl-HTTP-Daemon                    6.01-4
perl-HTTP-Date                      6.02-4
perl-HTTP-Message                   6.06-2
perl-HTTP-Negotiate                 6.01-4
perl-libwww-perl                    6.13-1
perl-LWP                            6.13-1
perl-LWP-MediaTypes                 6.02-4
